,code,listing_date,lot_size,mktcap,offer_price,listing_price,oversub_rate,app_lots_for_one_lot,one_lot_success_rate,last
11,09869.HK,2021/09/10,500,234.63-258.32,18.82-20.72,19.770,29.8,3手,15.580,+22.910%
12,06669.HK,2021/08/24,"1,000",69.57-74.59,22.20-23.80,23.800,653.5,200手,13.700,-26.050%
13,06609.HK,2021/08/20,50,50.51-53.98,160.00-171.00,171.000,332.1,200手,37.900,-24.560%
14,02015.HK,2021/08/12,100,"3,098.57",150.00,118.000,4.5,4手,90.400,-0.847%
15,06611.HK,2021/07/19,"1,000",22.29-35.13,3.30-5.20,4.750,2.2,4手,0.169,0.000%
16,02175.HK,2021/07/16,"1,000",15.97-22.14,3.16-4.38,3.690,3.1,10手,3.110,0.000%
17,02205.HK,2021/07/16,"1,000",19.46-27.16,2.78-3.88,3.680,22.7,15手,0.710,-1.087%
18,02207.HK,2021/07/16,"1,000",23.78-28.61,4.68-5.63,4.880,7.1,25手,4.200,+0.410%
19,06616.HK,2021/07/16,"1,000",41.95-50.29,3.52-4.22,3.250,9.8,30手,4.770,+13.846%
0,09960.HK,2021/07/16,500,77.88-88.57,8.60-9.78,9.780,542.0,50手,1.940,-7.566%
1,02192.HK,2021/07/15,500,171.89-194.00,24.10-27.20,27.200,591.4,90手,11.300,+13.971%
2,02215.HK,2021/07/15,"1,000",27.05-34.98,2.66-3.44,3.060,2.1,2手,2.780,0.000%
3,06909.HK,2021/07/15,"1,000",24.90-29.88,4.00-4.80,4.400,42.9,20手,2.910,+25.000%
4,02137.HK,2021/07/13,500,151.19-160.19,21.00-22.25,22.250,291.0,40手,5.280,+3.150%
5,06913.HK,2021/07/13,"2,000",21.21-26.81,1.59-2.01,1.590,5.0,10手,1.290,-16.981%
6,02165.HK,2021/07/12,"1,000",10.71-13.00,3.75-4.55,4.190,4.2,9手,0.600,0.000%
7,02177.HK,2021/07/12,200,19.68-25.46,11.86-15.35,11.860,24.5,450手,1.770,-23.780%
8,02209.HK,2021/07/09,"1,000",11.87-13.18,3.00-3.33,3.280,144.3,35手,0.510,+5.488%
9,01965.HK,2021/07/08,"1,000",11.75-17.09,2.86-4.16,3.180,7.0,20手,2.290,+41.509%
10,02162.HK,2021/07/08,500,141.27-149.10,50.50-53.30,53.300,429.0,70手,63.400,+27.580%
11,02219.HK,2021/07/07,500,67.08-75.01,9.48-10.60,10.600,113.0,18手,5.300,+33.019%
12,09868.HK,2021/07/07,100,"3,066.75",180.00,165.000,13.7,20手,37.750,0.000%
13,02190.HK,2021/07/05,500,48.36-51.89,39.80-42.70,42.700,"1,189.4",200手,11.800,+40.515%
14,00606.HK,2021/07/02,"1,000",76.78-95.45,3.70-4.60,3.700,0.3,1手,1.720,+8.108%
15,00013.HK,2021/06/30,500,388.85,45.00,40.100,4.2,80手,22.800,+50.374%
16,02150.HK,2021/06/30,500,295.00-339.59,17.20-19.80,19.800,431.0,40手,7.560,-13.535%
17,02155.HK,2021/06/28,"1,000",22.00-24.80,2.20-2.48,2.480,22.7,25手,9.770,+258.870%
18,06626.HK,2021/06/28,500,74.28-99.24,4.88-6.52,4.880,8.9,12手,3.850,0.000%
19,02171.HK,2021/06/18,500,167.93-186.09,29.60-32.80,32.800,433.6,70手,15.080,-8.537%
0,09858.HK,2021/06/18,"1,000",264.92-328.68,6.98-8.66,6.980,2.7,3手,1.890,-11.891%
1,06699.HK,2021/06/16,200,243.74-286.85,147.00-173.00,173.000,"2,078.2",750手,109.700,+131.792%
2,09982.HK,2021/05/31,"2,000",79.09-105.45,2.40-3.20,3.000,4.0,20手,0.580,-12.000%
3,02618.HK,2021/05/28,100,"2,397.66-2,641.32",39.36-43.36,40.360,714.6,300手,13.320,+3.320%
4,03658.HK,2021/05/25,"1,000",30.94-38.26,3.80-4.70,3.800,3.8,10手,1.400,+0.526%
5,02191.HK,2021/05/17,"1,000",37.44-41.28,4.68-5.16,4.980,4.0,4手,3.100,-16.466%
6,02176.HK,2021/05/14,"10,000",N/A,N/A,N/A,N/A,N/A,0.370,-1.786%
7,06622.HK,2021/04/29,500,82.31-89.91,15.38-16.80,16.800,55.0,10手,3.970,-14.762%
8,09961.HK,2021/04/19,50,"2,106.93",333.00,268.000,16.8,18手,291.200,+4.552%
9,09959.HK,2021/04/09,500,368.64-413.93,16.28-18.28,17.580,97.5,20手,3.240,+9.898%
10,02195.HK,2021/03/31,"5,000",5.00-5.60,0.50-0.56,0.560,20.7,9手,0.086,-41.071%
11,06608.HK,2021/03/31,500,131.25-157.50,26.50-31.80,31.800,149.7,30手,10.860,-16.038%
